都道府県名,市区町村名,開設局数,25/12,25/11,25/10,25/09,25/08,25/07,25/06,25/05,25/04,25/03,25/02,25/01,24/12,24/11,24/10,24/09,24/08,24/07,24/06,24/05,24/04,24/03,24/02,24/01,23/12,23/11,23/10,23/09,23/08,23/07,23/06,23/05,23/04,23/03,23/02,23/01,22/12,22/11,22/10,22/09,22/08,22/07,22/06,22/05,22/04,22/03,22/02,22/01,21/12,21/11
大阪府,大阪市旭区,51,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,0,0,0,6,0,0,0,0,0,1,2,0,0,0,1,1,0,3,0,1,2,1,0,0,0,0,7,0,0,0,0,0
大阪府,大阪市城東区,44,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,3,0,1,2,0,0,1,0,0,1,0,0,0,0,3,0,0
大阪府,大阪市阿倍野区,50,1,1,0,0,0,2,0,2,0,0,0,0,0,-2,0,0,0,1,0,0,0,-1,0,0,1,0,0,1,0,1,3,1,0,1,1,0,0,0,-1,0,4,0,0,1,0,6,0,0,-1,0
大阪府,大阪市住吉区,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,1,10,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
大阪府,大阪市東住吉区,50,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,2,2,0,1,0,0,5,2,1,0,0,1,1,0,0,0,0,0
大阪府,大阪市西成区,52,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,3,1,2,0,1,5,3,1,0,0,0,0,1,0,2,5,2,1,0
大阪府,大阪市淀川区,86,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,4,0,3,1,1,0,1,3,2,2,2,0,2,0,1,0,0,0,0,0,1,3,3,1,1,0
大阪府,大阪市鶴見区,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,大阪市住之江区,95,0,0,0,1,4,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,1,2,3,1,0,2,0,3,0,2,5,4,5,2,0,1,3,5,1,-1,1,0,0,2,5,0,0,0,0
大阪府,大阪市平野区,64,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,1,1,1,0,0,2,3,1,1,1,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
大阪府,大阪市北区,204,0,0,0,0,0,2,0,0,1,1,0,0,-5,0,0,2,14,1,2,3,0,7,2,4,3,1,0,0,2,3,-1,2,16,3,3,1,4,1,1,2,4,0,0,2,2,5,1,1,1,0
